,Percentage_of_total_national_country_population_living_in_the_city,Art_galleries,Average_daily_number_of_visits_to_top_5_art_exhibitions,Average_income_per_capita_per_year_(ppp),Bookshops,Cinema_screens,Cinemas,Community_centres,Creative_industries_employment_Percentage,Education_level-Percentage_with_degree_level_or_higher,Estimated_attendance_at_main_carnivalfestival,Estimated_attendance_at_main_carnivalfestival_as_Percentage_of_city_population,Festivals_and_celebrations,Film_festivals,GDP_(ppp)(million),"Geographical_area_size,_sq._km",Major_concert_halls,Museumsgalleries_attendance_-_Percentage_working_age_population_attending_at_least_once_a_year,National_museums,"Night_Clubs,_Discos_and_Dance_Halls",No._performing_arts_dance_rehearsal_space,No_artist_studio_units_30102018(2).csv),Number_of_Michelin_star_restaurants,Number_of_admissions_at_all_theatres_per_year,Number_of_admissions_at_main_film_festival,Number_of_bars,"Number_of_bars_per_100,000_population",Number_of_book_loans_by_public_libraries_per_year_(million),Number_of_book_titles_published_in_the_country_in_a_year,Number_of_bookshops_per_100.000_population,Number_of_dance_performances_per_year,Number_of_films_given_theatrical_release_in_the_country_in_a_year,Number_of_foreign_films_given_theatrical_release_in_the_country_in_a_year,Number_of_households,Number_of_international_students_studying_in_the_city,Number_of_international_tourists_per_year,Number_of_international_tourists_per_year_as_Percentage_of_city_population,Number_of_live_music_venues,Number_of_markets,Number_of_music_performances_per_year,Number_of_non-professional_dance_schools,Number_of_other_HeritageHistorical_sites,Number_of_restaurants,"Number_of_restaurants_per_100,000_population",Number_of_students_of_Art__Design_degree_courses_at_generalist_universities,Number_of_students_of_specialist_Art__Design_public_institutions,Number_of_students_of_specialist_Art__Design_public_institutions,Number_of_theatrical_performances_at_all_theatres_per_year,Number_of_video_games_arcades,Number_of_visits_to_top_5_most_visited_museums__galleries,Other_museums,Public_libraries,Specialist_private_cultural_HE_establishments,Specialist_public_cultural_HE_establishments,Theatres,Total_museums,Total_population_number,Total_value_of_cinema_ticket_sales_per_year_-_(ppp),Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp),UNESCO_World_Heritage_Sites,Working_age_population,Figure,Per capita (Number_of_admissions_at_all_theatres_per_year,Per capita (Number_of_book_loans_by_public_libraries_per_year_(million),Per capita (Number_of_visits_to_top_5_most_visited_museums__galleries,Per capita (Total_value_of_cinema_ticket_sales_per_year_-_(ppp),Per capita (Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp)
Estimated_attendance_at_main_carnivalfestival,-0.200549343,0.3211497749,0.03968147385,-0.2245632011,0.3139404137,0.2033033502,0.3768972443,-0.170212037,-0.217757326,-0.3396121319,1,0.2150863208,-0.2620382772,-0.1537767789,0.3834168625,-0.02852729479,0.2878877842,-0.09477445824,0.1610447282,0.292636998,-0.03928008669,-0.1206115592,-0.009025957487,0.1127125937,-0.005396033792,-0.02490959662,-0.1675139866,0.1951727906,0.356013425,-0.03905824975,0.1466923741,0.03794383611,-0.01910443879,0.3170653546,0.09044977321,-0.06852282225,-0.2037524473,0.1378908989,0.04701531985,-0.03296714792,0.5572900862,0.1031799297,0.3270739574,0.1643309409,-0.03729635995,-0.1447014281,-0.1447014281,-0.07427069898,0.7198062864,0.1211471232,-0.1498389208,0.252877699,-0.1860629576,-0.2515862069,-0.05074354834,-0.1029816479,0.3920480976,0.3961685412,0.3251870397,-0.2272044825,-0.03680182412,0.1015237639,-0.1471117255,-0.1274888193,0.0102541976,-0.01594387498,0.154943375
Estimated_attendance_at_main_carnivalfestival_as_Percentage_of_city_population,-0.05916813917,-0.1791747739,0.07987335473,-0.002836998988,-0.2065370465,-0.3704870692,-0.319033727,-0.364855809,-0.1873579235,-0.1082529819,0.2150863208,1,-0.3473839931,-0.2013049175,-0.2939229068,-0.08375639151,-0.2869319477,0.3838678923,-0.1800113474,-0.2415610219,-0.3899035398,-0.3397446494,-0.1571923115,-0.2830615426,-0.146723152,-0.2385771102,0.1915085528,-0.2442275417,0.165368875,0.186708215,-0.257528106,-0.07527721067,-0.07103662514,-0.3581995089,-0.0770257145,-0.01439390155,0.4792208292,-0.164190085,-0.3587323298,-0.1509127698,-0.2075257731,-0.08760466686,-0.2009759676,-0.06245812718,-0.2249154694,-0.2786964959,-0.2786964959,-0.2963712404,-0.1009144208,-0.03508679659,-0.3018680328,-0.2705042502,-0.3359766791,-0.2529544254,-0.2965883709,-0.3206326414,-0.3459180931,-0.2530284858,-0.121816365,0.0259922202,-0.09399198428,0.08800043763,-0.0149223182,0.1092253687,0.7863023422,0.04705242476,0.01955419038
Festivals_and_celebrations,-0.0351377015,0.2051071002,-0.1485734162,0.1578070527,-0.05414209693,0.3287536481,0.2674925711,0.4230745122,0.2589180538,0.1320666841,-0.2620382772,-0.3473839931,1,0.365385222,0.1880556432,0.2448908252,0.2964599011,0.09875256938,-0.1717722391,0.02870174911,0.4842055533,-0.2078880569,0.01931033778,0.08645959611,-0.1228602877,0.01477600551,-0.1150614953,0.02852853081,0.08234373861,-0.1121381724,0.5374100414,0.325433579,0.1905613436,0.03805293469,0.088919313,0.05097310498,0.02042407636,0.1535193319,0.3981252118,0.3342435028,0.3953339204,0.05944060347,0.1271133395,-0.07381382032,0.2574636677,0.02091248405,0.02091248405,0.3009878307,-0.1535484368,0.2333358725,0.4168031875,0.3609984062,0.2947467696,0.07394419216,0.4539034918,0.3632924396,0.01107906719,-0.02424497828,0.03046420306,0.2171520009,0.3972965329,0.000583657325,0.005085918803,0.07913423774,-0.1338622037,-0.1081516226,0.09792366394
Film_festivals,0.04898942583,0.4822425298,0.2421381319,0.05590633774,-0.02330367301,0.3936973746,0.4399917118,0.3327476592,0.4491534944,0.1518887733,-0.1537767789,-0.2013049175,0.365385222,1,0.3174782148,0.01790803385,0.3002299981,0.03208058507,0.02221709302,0.0589978897,0.912334584,0.2440945629,0.3432092394,0.4416732044,0.3057072448,0.264539766,-0.05929200217,0.2611287193,0.01132143444,-0.09375485221,0.2916428058,0.5248035307,0.3751342466,0.3224129239,0.3835545995,0.2096744783,-0.1427202546,0.2968517123,0.3976204823,0.4114032955,0.4240323813,0.0007245286232,0.3778561132,0.2013087103,0.404122691,0.1559087911,0.1559087911,0.6595641334,-0.1783040295,0.4866163493,0.5956895946,0.6557213637,0.6685337081,0.4226004945,0.726819487,0.5694606959,0.1505037588,0.1562894674,0.1452775644,0.3902973454,0.07269843342,-0.1469639667,0.0002848048254,0.1732329716,-0.145201835,-0.09406099753,0.198291776
GDP_(ppp)(million),0.0528009357,0.6787113362,-0.04465991503,0.2090941607,0.531919291,0.6367863838,0.7049303912,0.3504927111,0.2445746717,-0.1535987468,0.3834168625,-0.2939229068,0.1880556432,0.3174782148,1,-0.05443887353,0.4952414253,0.08225399112,0.3672374342,0.4336260677,0.6684176138,-0.01616843995,0.6270707059,0.5596511572,0.1599806851,0.329891601,-0.2768621664,0.7905792262,0.3970959289,-0.023534183,0.4567804632,0.3901345676,0.186165859,0.7924867292,0.3562901432,0.3308876817,-0.1823008716,0.4528356413,0.5339835483,0.1784906855,0.5814890122,0.160371455,0.7025557413,0.3348194987,0.1515984486,0.1717597476,0.1717597476,0.4238003485,0.5326305618,0.6062052943,0.530961722,0.5575762651,0.2432366288,0.05566653887,0.5196903447,0.5589199231,0.7201834695,0.6707050153,0.4841041772,-0.06458627138,0.2453143556,-0.1097269832,-0.2107142595,0.1515439585,-0.2317540792,-0.1828350707,0.170481741
"Geographical_area_size,_sq._km",0.06789144899,-0.05394939278,0.003024645322,0.3075389956,0.2128126193,0.05057617904,0.01323721048,0.547899735,-0.1177936286,0.3165563918,-0.02852729479,-0.08375639151,0.2448908252,0.01790803385,-0.05443887353,1,0.1832994686,-0.02273988812,-0.07611689423,-0.06588429593,-0.1680032514,-0.1109495758,-0.1165924165,0.04999697683,0.08528560418,-0.03151869235,-0.06340887358,0.07106887788,-0.1193455955,0.4637341321,0.03935772772,0.07016966605,-0.0036369828,-0.03412809542,0.2772765658,-0.07749417331,-0.12343277,0.2038064505,0.01035185172,0.7999713511,0.1009551535,-0.02989569994,-0.08164170884,-0.1332389555,0.0516704812,0.1698060248,0.1698060248,-0.0334458359,-0.09624616846,-0.05600014553,-0.1175856796,-0.0361829764,0.01659706747,-0.1345109791,-0.05089185446,-0.1384942503,-0.03021949972,-0.0662480106,0.03925490181,-0.05586945061,-0.02463198049,-0.1595023254,-0.03390255677,0.1013343111,-0.09081036066,0.08168055795,0.2623731662
Major_concert_halls,-0.112731641,0.5819880714,0.1131804457,0.101797655,0.4419824057,0.5455985433,0.5455954771,0.5462614981,0.2574588577,-0.08623469046,0.2878877842,-0.2869319477,0.2964599011,0.3002299981,0.4952414253,0.1832994686,1,0.05414421688,-0.06005727818,0.04715005798,0.4544431356,0.1646597324,0.5000886753,0.3934631526,0.1242728631,0.2549121168,-0.1291987801,0.2944227011,0.1392543331,0.1951717518,0.6343330412,0.2456334433,0.2280311089,0.5333023476,0.5222176853,0.09427803476,-0.2104336252,0.4231071715,0.4675673842,0.4044938818,0.6234262738,0.4312119015,0.4760567664,0.2766521298,-0.06938531493,0.2471330554,0.2471330554,0.3120533454,0.04714031644,0.5690255119,0.4327823103,0.3321491418,0.2658563207,0.2388558487,0.5514428,0.389819976,0.4727282721,0.2836226329,0.6570389251,0.1544013632,-0.02760234645,-0.1296166554,0.1420417843,-0.1260486411,-0.2259337338,-0.1524179194,0.6187045504
Museumsgalleries_attendance_-_Percentage_working_age_population_attending_at_least_once_a_year,0.05872643187,0.1939016961,0.1648152055,0.1316091786,-0.03491187145,0.1328555091,0.03571238045,0.1203976308,0.215027529,0.1990553027,-0.09477445824,0.3838678923,0.09875256938,0.03208058507,0.08225399112,-0.02273988812,0.05414421688,1,0.2147830076,-0.003738244101,0.1532726417,0.3084980073,0.1151681655,0.2146735091,0.3306202462,0.1044254669,0.2128243986,0.1060809695,0.1683796524,-0.06362652283,-0.09639845486,0.136814086,0.2053965628,0.09183669777,0.1013206458,-0.04009770176,0.06584158451,0.2586383877,0.3707440991,0.07900276662,-0.2393860656,0.4356407575,-0.01811449624,-0.1859640789,-0.0693279384,0.1394521276,0.1394521276,0.2074564083,-0.1312274586,0.3767186731,0.08072842493,-0.08977829076,0.2511056703,0.1085457167,0.1695925317,0.1837280516,0.05305884314,0.01065587873,0.05490152051,0.4121308488,-0.03033142597,-0.30122067,0.1725931449,0.01440573664,0.3973735508,-0.06189194073,0.07765149259
National_museums,-0.03460897867,0.3254911392,0.1836217171,-0.2568925878,0.5572971877,0.3264587704,0.4857913574,0.1511698341,0.01167383457,-0.03045025591,0.1610447282,-0.1800113474,-0.1717722391,0.02221709302,0.3672374342,-0.07611689423,-0.06005727818,0.2147830076,1,0.6728813296,0.256242316,0.4166469107,0.09886910137,0.3658464096,0.2575310211,0.04132638942,0.0515403305,0.4528082988,-0.286730466,0.05202915392,-0.1605202309,-0.1938427849,-0.164857467,0.4940161613,0.09182481182,0.1923600683,-0.06772051787,0.3450763681,0.4212878246,-0.02357005533,0.1244301871,0.05438945972,0.07484600973,-0.07441442049,0.1976791077,0.2980889257,0.2980889257,0.2259395154,0.6232945424,0.241996038,0.0007180303677,0.2796851638,0.6329754793,0.2283294548,0.08442807733,0.2299497115,0.5920407446,0.5154950748,0.1058858179,0.07252963783,-0.09862619008,-0.1517267579,-0.05931823528,-0.1549785782,-0.2106145233,-0.01691114512,-0.1307475432
"Night_Clubs,_Discos_and_Dance_Halls",-0.2135113219,0.4473026025,0.2285600402,-0.1464548911,0.4829295699,0.4533838289,0.4429616319,0.5025267525,0.324549447,-0.007489457756,0.292636998,-0.2415610219,0.02870174911,0.0589978897,0.4336260677,-0.06588429593,0.04715005798,-0.003738244101,0.6728813296,1,0.5584813997,0.8193428257,0.02245451918,0.2883508461,0.3401730146,-0.04456997691,-0.231447543,0.5099332622,0.3087948927,-0.02001487941,0.1514230712,-0.06193479994,-0.1776355031,0.411513772,0.1095565053,0.0388753011,-0.2123334008,0.3123996204,0.2423105273,0.03923608932,0.04926353031,0.1017220535,0.08976321689,0.02686962748,0.1559175507,0.314421924,0.314421924,0.03828217121,0.5386249435,0.1804517623,0.1080010101,0.131011422,0.05009469235,-0.05893894088,0.1678627559,0.2693322754,0.5737271142,0.5442397448,0.3134897725,-0.2848113142,0.387810863,-0.09476509172,-0.0855090794,0.03187126709,-0.2325879829,0.04584811144,0.1310554479
